candidate_index,image_name,relative_image_path,relative_label_path
1,b1c66a42-6f7d68ca.jpg,images/val/b1c66a42-6f7d68ca.jpg,labels/val/b1c66a42-6f7d68ca.txt
2,b1d7b3ac-5af8623b.jpg,images/val/b1d7b3ac-5af8623b.jpg,labels/val/b1d7b3ac-5af8623b.txt
3,b1d7b3ac-5744370e.jpg,images/val/b1d7b3ac-5744370e.jpg,labels/val/b1d7b3ac-5744370e.txt
4,b1df722f-57d21f3f.jpg,images/val/b1df722f-57d21f3f.jpg,labels/val/b1df722f-57d21f3f.txt
5,b1e8ad72-c3c79240.jpg,images/val/b1e8ad72-c3c79240.jpg,labels/val/b1e8ad72-c3c79240.txt
6,b1f022d3-45162c67.jpg,images/val/b1f022d3-45162c67.jpg,labels/val/b1f022d3-45162c67.txt
7,b1f4491b-846d8cb2.jpg,images/val/b1f4491b-846d8cb2.jpg,labels/val/b1f4491b-846d8cb2.txt
8,b1f4491b-09593e90.jpg,images/val/b1f4491b-09593e90.jpg,labels/val/b1f4491b-09593e90.txt
9,b1f4491b-bf7d513f.jpg,images/val/b1f4491b-bf7d513f.jpg,labels/val/b1f4491b-bf7d513f.txt
10,b1f4491b-d8d1459c.jpg,images/val/b1f4491b-d8d1459c.jpg,labels/val/b1f4491b-d8d1459c.txt
11,b1f85377-44885085.jpg,images/val/b1f85377-44885085.jpg,labels/val/b1f85377-44885085.txt
12,b2b32394-e46669cb.jpg,images/val/b2b32394-e46669cb.jpg,labels/val/b2b32394-e46669cb.txt
13,b3a1e72b-1f4b129d.jpg,images/val/b3a1e72b-1f4b129d.jpg,labels/val/b3a1e72b-1f4b129d.txt
14,b3a3d166-3a6a258d.jpg,images/val/b3a3d166-3a6a258d.jpg,labels/val/b3a3d166-3a6a258d.txt
15,b3aacff1-967c15c1.jpg,images/val/b3aacff1-967c15c1.jpg,labels/val/b3aacff1-967c15c1.txt
16,b3ae7668-c78f47c8.jpg,images/val/b3ae7668-c78f47c8.jpg,labels/val/b3ae7668-c78f47c8.txt
